  0.1440   1.0981   0.6504   1.1764
  0.1766   0.9867   0.1613   0.9404
  0.1613   0.9404   0.3102   0.9623
  3.4933  -0.6405   3.5388  -0.6877
  3.5388  -0.6877   3.6191  -0.6013
  3.6191  -0.6013   3.6943  -0.6347
  3.6943  -0.6347   3.7548  -0.6612
  3.7548  -0.6612   3.8483  -0.6594
  3.8483  -0.6594   3.8556  -0.6138
  3.7548  -0.6612   3.8201  -0.7357
  3.8201  -0.7357   3.9234  -0.7348
  3.6943  -0.6347   3.6194  -0.7275
  3.6194  -0.7275   3.6198  -0.7412
  3.6198  -0.7412   3.6457  -0.8252
  3.6457  -0.8252   3.5773  -0.9329
  3.5773  -0.9329   3.3227  -0.8543
  3.3227  -0.8543   3.3747  -0.7010
  3.3747  -0.7010   3.6194  -0.7275
  3.3227  -0.8543   3.2639  -0.8764
  3.2639  -0.8764   3.1781  -0.8852
  3.1781  -0.8852   3.1924  -0.9140
  3.1924  -0.9140   2.9714  -0.9509
  2.9714  -0.9509   3.0827  -1.0676
  3.0827  -1.0676   3.0359  -1.0998
  3.6818  -1.0536   3.5773  -0.9329
  3.5773  -0.9329   3.8380  -1.0617
  5.3650   1.0993   5.4335   1.0792
  5.4335   1.0792   5.5788   1.0923
  5.5788   1.0923   5.6229   1.2313
  5.6229   1.2313   6.1930   1.3547
  6.1930   1.3547   5.9763   1.1554
  5.9763   1.1554   5.8069   1.0158
  5.8069   1.0158   5.5788   1.0923
  5.8069   1.0158   5.8252   0.9954
  5.8252   0.9954   5.8869   1.0193
  0.7125   0.0564   0.7953   0.0713
  0.7953   0.0713   0.7841   0.1553
  0.7841   0.1553   0.7197   0.1763
  0.7197   0.1763   0.6465   0.1475
  0.6465   0.1475   0.6801   0.0974
  0.6801   0.0974   0.7125   0.0564
  0.7125   0.0564   0.6958   0.0055
  0.6958   0.0055   0.6080  -0.0518
  0.6080  -0.0518   0.4864  -0.1804
  0.4864  -0.1804   0.3665  -0.1428
  0.3665  -0.1428   0.2992  -0.1774
  0.2992  -0.1774   0.4539  -0.2781
  0.4539  -0.2781   0.4864  -0.1804
  0.4539  -0.2781   0.5236  -0.3677
  0.5236  -0.3677   0.7160  -0.2417
  0.2992  -0.1774   0.1901  -0.3139
  0.1901  -0.3139   0.0848  -0.1539
  2.1753  -1.3424   2.7727  -1.3718
  2.7727  -1.3718   3.2216  -1.3840
  3.2216  -1.3840   2.8177  -1.4056
  2.8177  -1.4056   2.1844  -1.3523
  2.1844  -1.3523   2.1753  -1.3424
  4.0289  -1.0353   3.8506  -1.1339
  3.8506  -1.1339   4.0033  -1.0263
  1.4451  -0.6190   1.4819  -0.5946
  1.4819  -0.5946   1.5314  -0.6242
  1.5314  -0.6242   1.5600  -0.6158
  1.5600  -0.6158   1.6429  -0.6132
  1.6429  -0.6132   1.6672  -0.5835
  1.5314  -0.6242   1.5670  -0.7470
  3.4469   0.3057   3.4552   0.4864
  3.4552   0.4864   3.2591   0.4933
  4.9685  -0.6475   5.0021  -0.6466
  5.0021  -0.6466   5.0155  -0.6615
  5.0155  -0.6615   5.0180  -0.6865
  5.0180  -0.6865   5.0105  -0.7066
  5.0105  -0.7066   4.9877  -0.7345
  4.9877  -0.7345   4.9579  -0.7453
  4.9579  -0.7453   4.9287  -0.7581
  4.0707   0.5472   4.0484   0.5079
  4.0484   0.5079   4.0783   0.4660
  4.0783   0.4660   4.1135   0.4587
  4.1135   0.4587   4.1434   0.4549
  4.1434   0.4549   4.1782   0.4689
  4.1782   0.4689   4.1950   0.5210
  3.1782  -0.4314   3.1857  -0.3947
  3.1857  -0.3947   3.2105  -0.3060
  3.2105  -0.3060   3.2719  -0.2880
  3.2719  -0.2880   3.2915  -0.4081
  3.2915  -0.4081   3.1857  -0.3947
  3.1241  -0.2993   3.0751  -0.3203
  3.0751  -0.3203   2.9883  -0.3086
  2.9883  -0.3086   2.9642  -0.2577
  2.9642  -0.2577   2.9871  -0.1894
  2.9871  -0.1894   3.0398  -0.1710
  2.9883  -0.3086   2.9306  -0.3982
  2.9306  -0.3982   2.8788  -0.3191
