#
# Andromeda
#
Canopus,Pup Nu
Canopus,Car Beta
Car Omega,Car Beta
Car Theta,Car Omega
# Temporary, lost figurehead
Car Theta,Car Iota
Car Epsilon,Car Iota
Car Chi,Car Epsilon
Vel Gamma2,Car Chi
#
# Cassiopeia
#
Cas 50,Cas Epsilo-45
Cas Epsilo-45,Cas Delta-37
Cas Delta-37,Cas Gamma-27
Cas Gamma-27,Schedar
Schedar,Caph
#
# Centaurus
#
#   Head
Cen Phi,Cen Chi
# Missing one between Chi and Psi
Cen Chi,Cen Psi
Cen Psi,Cen Theta-5
Cen Theta-5,Cen Nu
#   Body
Cen Zeta,Cen Upsilon2
Cen Upsilon2,Cen Upsilon1
Cen Upsilon1,Cen Phi
Cen Phi,Cen Nu
Cen Nu,Cen Mu
Cen Mu,Cen Zeta
Cen Zeta,Cen Gamma
Cen Zeta,Cen Epsilon
Cen Epsilon,Cen Gamma
Cen Gamma,Cen Sigma
#   Arms
Cen Phi,Cen Eta
Cen Eta,Cen Kappa
# 2 stars missing at end of left arm
# 1 star missing between Nu and Iota
Cen Nu,Cen Iota
Cen Iota,Cen 1
Cen 1,Cen 2
Cen 1,Cen 3
Cen 1,Cen 4
#   Legs
Hadar (Agena),Cen Epsilon
Cen Epsilon,Rigil Kentaurus
Cen Rho,Cen Lambda
Cen Sigma,Cen Rho
Cen Delta,Cen Sigma
Cen Pi,Cen Delta
#   Tail
Cen Tau,Cen Gamma
#
# Cepheus
#
Alphirk,Alrai
Alrai,Cep Iota-32
Alphirk,Cep Iota-32
Alderamin,Alphirk
Cep Eta-3,Alderamin
Cep Theta-2,Cep Eta-3
Alderamin,Cep Mu
Cep Mu,Cep Epsilo-23
Cep Zeta-21,Cep Epsilo-23
Cep Zeta-21,Cep Nu-10
Cep Zeta-21,Cep Delta-27
Cep Delta-27,Cep Iota-32
#
# Cetus
#
#   Tail
Cet Gamma-86,Mekab
Mekab,Cet Lambda-91
Cet Lambda-91,Cet Mu-87
Cet Mu-87,Cet Xi2-73
Cet Xi2-73,Cet Nu-78
Cet Nu-78,Cet Gamma-86
Cet Gamma-86,Cet Delta-82
#   Body
Cet Delta-82,Mira
Mira,Baten
Cet Theta-45,Baten
Cet Theta-45,Cet Iota-8
Diphda,Cet Iota-8
Cet Tau-52,Diphda
Diphda,Cet Upsilo-59
Cet Upsilo-59,Cet Delta-82
#
